,uid,iid,rui,est,details,Iu,Ui,err
4790,170518,006101351X,0.0,0.0,{'was_impossible': False},154,162,0.0
9469,55492,0449134482,0.0,0.0,{'was_impossible': False},369,70,0.0
3411,23768,0971880107,0.0,0.0,{'was_impossible': False},337,634,0.0
21088,265313,1401088945,4.0,0.0,{'was_impossible': False},210,46,4.0
21086,98741,0425167313,0.0,0.0,{'was_impossible': False},231,101,0.0
13446,26544,0446360589,0.0,0.0,{'was_impossible': False},192,83,0.0
3416,228998,0345420438,0.0,0.0,{'was_impossible': False},190,25,0.0
16969,196985,0671749412,0.0,0.0,{'was_impossible': False},29,34,0.0
1307,102967,0671567829,0.0,0.0,{'was_impossible': False},401,29,0.0
6682,145451,051512608X,0.0,0.0,{'was_impossible': False},158,62,0.0
26070,61619,0553574086,0.0,0.0,{'was_impossible': False},111,43,0.0
6681,268330,0345425308,6.0,0.0,{'was_impossible': False},122,42,6.0
3422,78783,0553582801,0.0,0.0,{'was_impossible': False},347,21,0.0
16973,106225,0440208459,0.0,0.0,{'was_impossible': False},204,25,0.0
33788,102967,0553264079,0.0,0.0,{'was_impossible': False},401,44,0.0
28605,198711,0671673688,0.0,0.0,{'was_impossible': False},366,76,0.0
1294,212898,044011585X,0.0,0.0,{'was_impossible': False},193,46,0.0
21057,46269,0971880107,0.0,0.0,{'was_impossible': False},17,634,0.0
31548,198711,0380820447,0.0,0.0,{'was_impossible': False},366,34,0.0
17002,245963,0515128600,0.0,0.0,{'was_impossible': False},145,40,0.0
9460,35050,0515124214,0.0,0.0,{'was_impossible': False},142,57,0.0
9455,238526,0425145638,0.0,0.0,{'was_impossible': False},68,55,0.0
21091,23768,0375414053,0.0,0.0,{'was_impossible': False},337,37,0.0
32590,263877,0061031992,0.0,0.0,{'was_impossible': False},109,31,0.0
16868,69042,1551660717,0.0,0.0,{'was_impossible': False},107,32,0.0
13565,130474,0425147517,0.0,0.0,{'was_impossible': False},184,55,0.0
33810,87746,0553578316,0.0,0.0,{'was_impossible': False},159,42,0.0
6748,234623,042510687X,0.0,0.0,{'was_impossible': False},235,52,0.0
28652,187170,0449223043,0.0,0.0,{'was_impossible': False},45,31,0.0
9392,234623,0515115649,0.0,0.0,{'was_impossible': False},235,33,0.0
21133,14521,0061030430,0.0,0.0,{'was_impossible': False},164,20,0.0
21128,23768,0671670646,0.0,0.0,{'was_impossible': False},337,35,0.0
13550,69232,0446365505,0.0,0.0,{'was_impossible': False},129,49,0.0
31544,273979,0971880107,0.0,0.0,{'was_impossible': False},128,634,0.0
6727,220158,042517736X,0.0,0.0,{'was_impossible': False},32,42,0.0
26084,198711,0440236665,0.0,0.0,{'was_impossible': False},366,29,0.0
23799,23768,0446602213,0.0,0.0,{'was_impossible': False},337,39,0.0
30005,224435,0312973055,0.0,0.0,{'was_impossible': False},68,24,0.0
13499,209756,0971880107,0.0,0.0,{'was_impossible': False},98,634,0.0
23805,170518,0061092045,0.0,0.0,{'was_impossible': False},154,31,0.0
13491,268330,0345353145,0.0,0.0,{'was_impossible': False},122,163,0.0
1333,59971,0345334019,0.0,0.0,{'was_impossible': False},49,33,0.0
28625,172030,0425147517,0.0,0.0,{'was_impossible': False},110,55,0.0
3403,233917,0446525774,0.0,0.0,{'was_impossible': False},16,27,0.0
16916,56856,1551664348,0.0,0.0,{'was_impossible': False},201,30,0.0
13388,69697,0425191583,0.0,0.0,{'was_impossible': False},142,40,0.0
6635,102967,0440235774,0.0,0.0,{'was_impossible': False},401,27,0.0
21043,278418,042518630X,7.0,0.0,{'was_impossible': False},184,61,7.0
6516,198711,0440203856,0.0,0.0,{'was_impossible': False},366,54,0.0
20978,11601,0451202317,0.0,0.0,{'was_impossible': False},176,34,0.0
28547,85701,0821770209,0.0,0.0,{'was_impossible': False},76,29,0.0
6504,266226,0449227421,0.0,0.0,{'was_impossible': False},135,56,0.0
6503,56856,0425145638,0.0,0.0,{'was_impossible': False},201,55,0.0
6499,228998,0446602213,0.0,0.0,{'was_impossible': False},190,39,0.0
13230,98741,031298328X,0.0,0.0,{'was_impossible': False},231,77,0.0
6491,129851,0971880107,1.0,0.0,{'was_impossible': False},34,634,1.0
28539,114414,1551668653,0.0,0.0,{'was_impossible': False},206,41,0.0
23928,148744,0684801469,8.0,0.0,{'was_impossible': False},250,22,8.0
13194,166596,0449205878,0.0,0.0,{'was_impossible': False},185,30,0.0
3542,76352,0060008776,0.0,0.0,{'was_impossible': False},507,21,0.0
9667,235842,0671673688,0.0,0.0,{'was_impossible': False},94,76,0.0
17216,262399,0446802204,0.0,0.0,{'was_impossible': False},166,29,0.0
6475,117594,067103619X,0.0,0.0,{'was_impossible': False},43,34,0.0
34633,87746,0553268880,0.0,0.0,{'was_impossible': False},159,139,0.0
6474,238120,080411868X,8.0,0.0,{'was_impossible': False},304,100,8.0
