,uid,iid,rui,est,details,Iu,Ui,err
6169,98391,0399148639,9.0,9.0,{'was_impossible': False},74,24,0.0
31068,226965,0439064864,10.0,9.0,{'was_impossible': False},48,91,1.0
11977,98391,0312265867,10.0,9.0,{'was_impossible': False},74,69,1.0
26955,31826,0439064864,0.0,9.0,{'was_impossible': False},73,91,9.0
5389,98391,0385504209,10.0,9.0,{'was_impossible': False},74,315,1.0
25684,23872,0439139597,10.0,9.0,{'was_impossible': False},40,94,1.0
24626,244627,0440404193,10.0,9.0,{'was_impossible': False},34,29,1.0
34441,31826,043935806X,0.0,9.0,{'was_impossible': False},73,156,9.0
27944,110934,0439136350,9.0,9.0,{'was_impossible': False},86,95,0.0
14225,98391,0786868716,10.0,9.0,{'was_impossible': False},74,156,1.0
