,uid,iid,rui,est,details,Iu,Ui,err
22326,269566,0385494246,0.0,0.0,{'was_impossible': False},266,30,0.0
10311,98741,055328942X,0.0,0.0,{'was_impossible': False},235,29,0.0
30391,269566,0446365505,0.0,0.0,{'was_impossible': False},266,49,0.0
3345,189334,0743225724,0.0,0.0,{'was_impossible': False},99,23,0.0
13275,234623,0515115649,0.0,0.0,{'was_impossible': False},235,36,0.0
12110,49109,0425173631,0.0,0.0,{'was_impossible': False},99,31,0.0
1511,166596,0373218400,0.0,0.0,{'was_impossible': False},196,49,0.0
8239,87746,0553583980,0.0,0.0,{'was_impossible': False},171,45,0.0
16826,166596,0425147517,0.0,0.0,{'was_impossible': False},196,52,0.0
16835,89207,0971880107,0.0,0.0,{'was_impossible': False},9,609,0.0
28644,76352,1551668300,0.0,0.0,{'was_impossible': False},487,38,0.0
21404,235842,0553099558,0.0,0.0,{'was_impossible': False},104,30,0.0
8789,166123,0440225299,0.0,0.0,{'was_impossible': False},201,42,0.0
25640,268330,0553581554,0.0,0.0,{'was_impossible': False},134,55,0.0
1525,186570,0425147584,0.0,0.0,{'was_impossible': False},96,66,0.0
2692,273979,0971880107,0.0,0.0,{'was_impossible': False},134,609,0.0
8783,115120,0446802204,0.0,0.0,{'was_impossible': False},241,30,0.0
30402,131837,051512463X,0.0,0.0,{'was_impossible': False},51,34,0.0
30409,79186,0061098795,0.0,0.0,{'was_impossible': False},87,26,0.0
9875,242824,0380732688,0.0,0.0,{'was_impossible': False},108,24,0.0
23630,244688,0380820447,0.0,0.0,{'was_impossible': False},59,37,0.0
23631,39646,051512463X,0.0,0.0,{'was_impossible': False},159,34,0.0
26521,234623,0061031429,0.0,0.0,{'was_impossible': False},235,28,0.0
13279,23768,0385721420,0.0,0.0,{'was_impossible': False},336,77,0.0
4699,166596,0446365505,0.0,0.0,{'was_impossible': False},196,49,0.0
1499,179733,0440224829,0.0,0.0,{'was_impossible': False},89,32,0.0
8254,69042,0446608602,0.0,0.0,{'was_impossible': False},98,34,0.0
28604,238526,0345370805,0.0,0.0,{'was_impossible': False},71,66,0.0
1500,76352,042516098X,0.0,0.0,{'was_impossible': False},487,87,0.0
816,238781,0380796104,0.0,0.0,{'was_impossible': False},181,27,0.0
23653,36836,0670894184,0.0,0.0,{'was_impossible': False},160,51,0.0
11541,76352,0440223237,0.0,0.0,{'was_impossible': False},487,33,0.0
12109,212898,0425155404,0.0,0.0,{'was_impossible': False},194,56,0.0
19166,136473,0671749412,0.0,0.0,{'was_impossible': False},47,37,0.0
11528,145451,0440211891,0.0,0.0,{'was_impossible': False},155,39,0.0
2710,262070,0971880107,0.0,0.0,{'was_impossible': False},4,609,0.0
13260,198711,0425150143,0.0,0.0,{'was_impossible': False},356,40,0.0
15861,217375,0312288115,0.0,0.0,{'was_impossible': False},231,29,0.0
34030,127429,1551660717,0.0,0.0,{'was_impossible': False},124,36,0.0
32933,23768,0451181379,0.0,0.0,{'was_impossible': False},336,66,0.0
766,98741,0312979533,0.0,0.0,{'was_impossible': False},235,22,0.0
8197,167800,0446527017,0.0,0.0,{'was_impossible': False},104,36,0.0
26558,78783,0312288115,0.0,0.0,{'was_impossible': False},353,29,0.0
21433,173879,0425145638,0.0,0.0,{'was_impossible': False},18,57,0.0
18362,145451,0671027662,0.0,0.0,{'was_impossible': False},155,54,0.0
19219,170518,0804106436,8.0,0.0,{'was_impossible': False},156,38,8.0
21443,116210,0971880107,0.0,0.0,{'was_impossible': False},14,609,0.0
21448,76352,0446611476,0.0,0.0,{'was_impossible': False},487,31,0.0
18356,217375,067101417X,0.0,0.0,{'was_impossible': False},231,40,0.0
14006,198711,0821769278,0.0,0.0,{'was_impossible': False},356,35,0.0
4642,186570,034538184X,0.0,0.0,{'was_impossible': False},96,55,0.0
28678,167471,0971880107,0.0,0.0,{'was_impossible': False},99,609,0.0
6228,87746,0312971125,0.0,0.0,{'was_impossible': False},171,59,0.0
14000,127429,002026478X,0.0,0.0,{'was_impossible': False},124,37,0.0
12129,198711,0553285785,0.0,0.0,{'was_impossible': False},356,36,0.0
3370,55492,0425192733,7.0,0.0,{'was_impossible': False},366,50,7.0
18384,238120,0440202043,0.0,0.0,{'was_impossible': False},325,71,0.0
3359,234623,0345413903,0.0,0.0,{'was_impossible': False},235,78,0.0
8210,145451,0440224624,0.0,0.0,{'was_impossible': False},155,82,0.0
1529,28523,0425172996,0.0,0.0,{'was_impossible': False},43,44,0.0
28647,129358,0515119202,0.0,0.0,{'was_impossible': False},88,34,0.0
4664,32195,042517400X,0.0,0.0,{'was_impossible': False},107,32,0.0
12125,145451,0440184053,0.0,0.0,{'was_impossible': False},155,35,0.0
1533,28204,0425165701,0.0,0.0,{'was_impossible': False},131,38,0.0
4661,76352,042517400X,0.0,0.0,{'was_impossible': False},487,32,0.0
6238,266226,0345298349,9.0,0.0,{'was_impossible': False},132,49,9.0
13992,170575,0515119202,0.0,0.0,{'was_impossible': False},74,34,0.0
28653,178181,0061013315,0.0,0.0,{'was_impossible': False},54,32,0.0
15838,213350,0061099325,0.0,0.0,{'was_impossible': False},58,33,0.0
30368,79186,0446611808,0.0,0.0,{'was_impossible': False},87,59,0.0
6881,76352,0449223043,0.0,0.0,{'was_impossible': False},487,32,0.0
27915,52002,0743225724,0.0,0.0,{'was_impossible': False},47,23,0.0
3314,262399,0345402871,0.0,0.0,{'was_impossible': False},164,83,0.0
30448,185233,0743410181,0.0,0.0,{'was_impossible': False},338,30,0.0
4708,76352,0345422317,0.0,0.0,{'was_impossible': False},487,46,0.0
20885,174304,0971880107,0.0,0.0,{'was_impossible': False},138,609,0.0
20884,102967,0446609943,0.0,0.0,{'was_impossible': False},383,43,0.0
5161,145451,0373218036,0.0,0.0,{'was_impossible': False},155,64,0.0
15955,115490,0140244824,0.0,0.0,{'was_impossible': False},166,105,0.0
11594,175003,0440237300,0.0,0.0,{'was_impossible': False},292,22,0.0
19084,124942,0425165701,0.0,0.0,{'was_impossible': False},164,38,0.0
26471,269566,014016930X,0.0,0.0,{'was_impossible': False},266,25,0.0
16772,242361,0312978332,0.0,0.0,{'was_impossible': False},61,30,0.0
31208,102967,0446600474,0.0,0.0,{'was_impossible': False},383,33,0.0
27962,76352,0446609943,0.0,0.0,{'was_impossible': False},487,43,0.0
9885,102967,0553580884,0.0,0.0,{'was_impossible': False},383,40,0.0
19089,20115,0425168220,0.0,0.0,{'was_impossible': False},53,28,0.0
12073,76352,0446365505,0.0,0.0,{'was_impossible': False},487,49,0.0
25718,264317,0553573209,0.0,0.0,{'was_impossible': False},96,36,0.0
5163,102967,0425180964,0.0,0.0,{'was_impossible': False},383,47,0.0
28548,98741,0671793535,0.0,0.0,{'was_impossible': False},235,37,0.0
27963,36836,0671024248,0.0,0.0,{'was_impossible': False},160,77,0.0
9888,76352,0446611808,0.0,0.0,{'was_impossible': False},487,59,0.0
22995,235842,0743203631,0.0,0.0,{'was_impossible': False},104,39,0.0
6751,198711,0425151875,0.0,0.0,{'was_impossible': False},356,46,0.0
25758,127429,044023722X,0.0,0.0,{'was_impossible': False},124,212,0.0
6755,39616,0446612626,0.0,0.0,{'was_impossible': False},68,26,0.0
27993,235429,0425176932,0.0,0.0,{'was_impossible': False},24,25,0.0
898,212898,0671519816,0.0,0.0,{'was_impossible': False},194,35,0.0
1439,212898,0886777631,0.0,0.0,{'was_impossible': False},194,15,0.0
16744,203968,067168390X,0.0,0.0,{'was_impossible': False},93,34,0.0
28526,39646,0373250142,0.0,0.0,{'was_impossible': False},159,29,0.0
28534,262399,0451206525,0.0,0.0,{'was_impossible': False},164,46,0.0
3261,230708,0425162788,0.0,0.0,{'was_impossible': False},61,37,0.0
11606,170518,0345345738,0.0,0.0,{'was_impossible': False},156,29,0.0
31186,52584,1551669374,0.0,0.0,{'was_impossible': False},317,32,0.0
26463,91832,0449223345,0.0,0.0,{'was_impossible': False},94,29,0.0
27968,114414,0061031992,0.0,0.0,{'was_impossible': False},203,34,0.0
27957,245963,0440200563,0.0,0.0,{'was_impossible': False},146,53,0.0
22960,264317,0312144075,8.0,0.0,{'was_impossible': False},96,45,8.0
12074,265313,0345298349,0.0,0.0,{'was_impossible': False},215,49,0.0
15934,76352,034540288X,0.0,0.0,{'was_impossible': False},487,112,0.0
30474,114414,042518286X,0.0,0.0,{'was_impossible': False},203,32,0.0
33920,36836,0312144075,0.0,0.0,{'was_impossible': False},160,45,0.0
12087,238120,0743431030,0.0,0.0,{'was_impossible': False},325,26,0.0
30466,76352,0425192733,0.0,0.0,{'was_impossible': False},487,50,0.0
10271,52584,0786889616,0.0,0.0,{'was_impossible': False},317,22,0.0
20867,115120,044022165X,0.0,0.0,{'was_impossible': False},241,165,0.0
11560,24544,0971880107,0.0,0.0,{'was_impossible': False},11,609,0.0
8283,211430,0971880107,0.0,0.0,{'was_impossible': False},55,609,0.0
10281,76352,0061091790,0.0,0.0,{'was_impossible': False},487,40,0.0
2716,142093,0446525774,0.0,0.0,{'was_impossible': False},60,21,0.0
18418,166123,0345334019,8.0,0.0,{'was_impossible': False},201,35,8.0
6268,217375,0553569058,0.0,0.0,{'was_impossible': False},231,53,0.0
18414,170575,0553582658,0.0,0.0,{'was_impossible': False},74,45,0.0
28587,175003,0671525743,0.0,0.0,{'was_impossible': False},292,57,0.0
23616,36606,0061031429,0.0,0.0,{'was_impossible': False},247,28,0.0
12083,238120,0553565915,0.0,0.0,{'was_impossible': False},325,29,0.0
20783,170184,1400031699,0.0,0.0,{'was_impossible': False},48,26,0.0
11576,217375,0061031429,0.0,0.0,{'was_impossible': False},231,28,0.0
15910,212898,0345422317,0.0,0.0,{'was_impossible': False},194,46,0.0
5170,150968,0060505885,9.0,0.0,{'was_impossible': False},110,25,9.0
864,76352,0345402308,0.0,0.0,{'was_impossible': False},487,28,0.0
11584,7158,0971880107,0.0,0.0,{'was_impossible': False},97,609,0.0
21376,98741,0786866586,0.0,0.0,{'was_impossible': False},235,37,0.0
18440,212898,0440237025,0.0,0.0,{'was_impossible': False},194,29,0.0
5174,250184,0156006529,0.0,0.0,{'was_impossible': False},108,49,0.0
19094,60277,0971880107,0.0,0.0,{'was_impossible': False},27,609,0.0
25700,61619,034540761X,0.0,0.0,{'was_impossible': False},102,45,0.0
19099,268330,0345447840,0.0,0.0,{'was_impossible': False},134,59,0.0
2723,166123,0380731851,0.0,0.0,{'was_impossible': False},201,124,0.0
33909,166596,0671537458,0.0,0.0,{'was_impossible': False},196,47,0.0
8292,167800,0425150143,0.0,0.0,{'was_impossible': False},104,40,0.0
26502,11601,034538184X,0.0,0.0,{'was_impossible': False},187,55,0.0
3290,262399,0345404769,0.0,0.0,{'was_impossible': False},164,45,0.0
